Parafia	Miejscowość	Adres	Diecezja	Dekanat	Województwo
św. Andrzeja Ap.	Łukowica	św. Andrzeja Ap.|Łukowica 11|34-606 Łukowica|woj. małopolskie	tarnowska	Łącko	małopolskie
św. Andrzeja Ap.	Siedlce	św. Andrzeja Ap.|Siedlce k. Nowego Sącza 11|33-321 Siedlce|woj. małopolskie	tarnowska	Nowy Sącz-Centrum	małopolskie
św. Andrzeja Ap.	Porąbka Uszewska	św. Andrzeja Ap.|Porąbka Uszewska 363|32-854 Porąbka Uszewska|woj. małopolskie	tarnowska	Porąbka Uszewska	małopolskie
Św. Andrzeja Apostola	Wyszki	Św. Andrzeja Apostola|ul. Piórkowska 16|17-132 Wyszki|woj. podlaskie	drohiczyńska	Bielsk Podlaski	podlaskie
św. Andrzeja Apostoła	Prawdziska	św. Andrzeja Apostoła|Prawdziska 5|16-323 Prawdziska	ełcka	Ełk - Miłosierdzia Bożego	
św. Andrzeja Apostoła	Zabrze	św. Andrzeja Apostoła|ul. Wolności 196|41-800 Zabrze|woj. śląskie	gliwicka	Zabrze	śląskie
św. Andrzeja Apostoła	Graboszyce	św. Andrzeja Apostoła|Graboszyce 15|32-640 Graboszyce|woj. małopolskie	krakowska	Zator	małopolskie
św. Andrzeja Apostoła	Męcinka	św. Andrzeja Apostoła|Męcinka 27|59-424 Męcinka|woj. dolnośląskie	legnicka	Jawor	dolnośląskie
św. Andrzeja Apostoła	Poznań	św. Andrzeja Apostoła|ul. Spławie 86|61-312 Poznań|woj. wielkopolskie	poznańska	Poznań-Starołęka	wielkopolskie
św. Andrzeja Apostoła	Brudzawy	św. Andrzeja Apostoła|Kruszyny 58|87-328 Brudzawy	toruńska	Jabłonowo Pomorskie	
św. Andrzeja Apostoła	Warszawa	św. Andrzeja Apostoła|ul. Chłodna 9|00-891 Warszawa|woj. mazowieckie	warszawska	Warszawa-Muranów	mazowieckie
św. Andrzeja Apostoła	Środa Śląska	św. Andrzeja Apostoła|ul. Kolejowa 2|55-300 Środa Śląska|woj. dolnośląskie	wrocławska	Środa Śląska	dolnośląskie
św. Andrzeja Apostoła	Kucharzowice	św. Andrzeja Apostoła|Kucharzowice 32|57-120 Kucharzowice|woj. dolnośląskie	wrocławska	Wiązów	dolnośląskie
św. Andrzeja Apostoła	Bielany Wrocławskie	św. Andrzeja Apostoła|ul. Wrocławska 30 A|55-040 Bielany Wrocławskie|woj. dolnośląskie	wrocławska	Wrocław-Krzyki	dolnośląskie
św. Andrzeja Apostoła	Wrocław	św. Andrzeja Apostoła|ul. Boguszowska 84|54-046 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Zachód (Leśnica)	dolnośląskie
św. Andrzeja Apostoła	Śmieszkowo	św. Andrzeja Apostoła|Śmieszkowo 14|67-410 Śmieszkowo|woj. lubuskie	zielonogórsko-gorzowska	Sława	lubuskie
św. Andrzeja Apostoła	Szprotawa	św. Andrzeja Apostoła|ul. Jedności Klasy Robotniczej 5|67-300 Szprotawa|woj. lubuskie	zielonogórsko-gorzowska	Szprotawa	lubuskie
św. Andrzeja Apostoła	Jabłonów	św. Andrzeja Apostoła|ul. Zielona 12|68-113 Jabłonów|woj. lubuskie	zielonogórsko-gorzowska	Żagań	lubuskie
Św. Andrzeja Apostoła	Czeszewo	Św. Andrzeja Apostoła|Czeszewo nr 63|62-130 Czeszewo|woj. wielkopolskie	bydgoska	Kcynia	wielkopolskie
Św. Andrzeja Apostoła	Wąsocz Górny	Św. Andrzeja Apostoła|Wąsosz Górny Rynek 2|42-110 Wąsocz Górny|woj. śląskie	częstochowska	PAJĘCZAŃSKI	śląskie
Św. Andrzeja Apostoła	Kadłub	Św. Andrzeja Apostoła|Kadłub 1|98-300 Kadłub|woj. łódzkie	częstochowska	NAJŚW. MARYI PANNY POCIESZENIA W WIELUNIU	łódzkie
Św. Andrzeja Apostoła	Lasowice Wielkie	Św. Andrzeja Apostoła|Lasowice Wielkie 76|82-200 Lasowice Wielkie|woj. pomorskie	elbląska	NOWY STAW	pomorskie
Św. Andrzeja Apostoła	Węgleszyn	Św. Andrzeja Apostoła|Węgleszyn 116|28-363 Węgleszyn|woj. świętokrzyskie	kielecka	Małogoszcz	świętokrzyskie
Św. Andrzeja Apostoła	Sieciechowice	Św. Andrzeja Apostoła|Sieciechowice 57|32-095 Sieciechowice|woj. małopolskie	kielecka	Skała	małopolskie
Św. Andrzeja Apostoła	Wrocimowice	Św. Andrzeja Apostoła|ul. Wrocimowice 56|32-107 Wrocimowice|woj. małopolskie	kielecka	Słomniki	małopolskie
Św. Andrzeja Apostoła	Szaflary	Św. Andrzeja Apostoła|ul. Kościelna 1|34-424 Szaflary|woj. małopolskie	krakowska	Biały Dunajec	małopolskie
Św. Andrzeja Apostoła	Przodkowo	Św. Andrzeja Apostoła|ul. Kartuska 3|83-304 Przodkowo|woj. pomorskie	pelplińska	Kartuzy	pomorskie
Św. Andrzeja Apostoła	Zgłobień	Św. Andrzeja Apostoła|Zgłobień 86|36-046 Zgłobień|woj. podkarpackie	rzeszowska	Boguchwała	podkarpackie
Św. Andrzeja Apostoła	Restarzew Poduchowny	Św. Andrzeja Apostoła|Restarzew Poduchowny 3|98-170 Restarzew Poduchowny|woj. łódzkie	łódzka	Szczerców	łódzkie
Św. Andrzeja Apostoła	BROK	Św. Andrzeja Apostoła|Pl.Kościelny 8|07-306 BROK|woj. mazowieckie	łomżyńska	Ostrów Mazowiecka-Chrystusa Dobrego Pasterza	mazowieckie
Św. Andrzeja Apostoła	KASZEWY KOŚCIELNE	Św. Andrzeja Apostoła|Kaszewy Kościelne 2|99-314 KASZEWY KOŚCIELNE|woj. łódzkie	łowicka	Kutno-Św.Michała Archanioła	łódzkie
Św. Andrzeja Apostoła	ŁĘCZYCA	Św. Andrzeja Apostoła|ul.Kościelna 4|99-100 ŁĘCZYCA|woj. łódzkie	łowicka	Łęczyca	łódzkie
Św. Andrzeja Apostoła	LUBNÓW	Św. Andrzeja Apostoła|Lubnów 40|57-223 LUBNÓW|woj. dolnośląskie	świdnicka	Kamieniec Ząbkowicki	dolnośląskie
Św. Andrzeja Apostoła	TRZEBIESZOWICE	Św. Andrzeja Apostoła|Trzebieszowice 152|57-541 TRZEBIESZOWICE|woj. dolnośląskie	świdnicka	Lądek Zdrój	dolnośląskie
Św. Andrzeja Apostoła	BARTOSZYCE	Św. Andrzeja Apostoła|ul.Poniatowskiego 4|11-200 BARTOSZYCE|woj. warmińsko-mazurskie	bizantyjska przemysko-warszawska	Olsztyn	warmińsko-mazurskie
Św. Andrzeja Apostoła	Olkusz	Św. Andrzeja Apostoła|ul.Szpitalna 1|32-300 Olkusz	sosnowiecka	Olkusz-Św.Andrzeja	
Św. Andrzeja Apostoła	Wapnik	Św. Andrzeja Apostoła|Wapnik|14-510 Wapnik	warmińska (olsztyńska)	Orneta	
Św. Andrzeja Apostoła	Nowaki	Św. Andrzeja Apostoła|Nowaki 45|48-384 Nowaki	opolska	Otmuchów	
Św. Andrzeja Apostoła	Wójcice	Św. Andrzeja Apostoła|Wójcice 135|48-385 Wójcice|woj. opolskie	opolska	Otmuchów	opolskie
Św. Andrzeja Apostoła	Ujazd	Św. Andrzeja Apostoła|ul. Strzelecka 4|47-143 Ujazd|woj. opolskie	opolska	Ujazd	opolskie
Św. Andrzeja Apostoła	Garczyn	Św. Andrzeja Apostoła|Garczyn 1|83-420 Garczyn|woj. pomorskie	pelplińska	Skarszewy	pomorskie
Św. Andrzeja Apostoła	Czarnylas	Św. Andrzeja Apostoła|Czarnylas 3|83-213 Czarnylas	pelplińska	Skórcz	
Św. Andrzeja Apostoła	Kunowo	Św. Andrzeja Apostoła|Kunowo 34|63-800 Kunowo|woj. wielkopolskie	poznańska	Gostyń	wielkopolskie
Św. Andrzeja Apostoła	Wyskoć	Św. Andrzeja Apostoła|Wyskoć 40|64-000 Wyskoć|woj. wielkopolskie	poznańska	Kościan	wielkopolskie
Św. Andrzeja Apostoła	Brody Poznańskie	Św. Andrzeja Apostoła|Brody Poznańskie130|64-310 Brody Poznańskie|woj. wielkopolskie	poznańska	Pniewy	wielkopolskie
Św. Andrzeja Apostoła	Jawornik Polski	Św. Andrzeja Apostoła|ul. Kościelna 13|37-232 Jawornik Polski|woj. podkarpackie	przemyska (łac)	Kańczuga	podkarpackie
Św. Andrzeja Apostoła	Husów	Św. Andrzeja Apostoła|Husów 7|37-121 Husów|woj. podkarpackie	przemyska (łac)	Łańcut I	podkarpackie
Św. Andrzeja Apostoła	Kalników	Św. Andrzeja Apostoła|Kalników 178|37-724 Kalników|woj. podkarpackie	przemyska (łac)	Przemyśl III	podkarpackie
Św. Andrzeja Apostoła	Brwilno	Św. Andrzeja Apostoła|Brwilno 45|09-400 Brwilno|woj. mazowieckie	płocka	Płocka-Zachód	mazowieckie
Św. Andrzeja Apostoła	Lubowidz	Św. Andrzeja Apostoła|ul. Podświętna 4|09-304 Lubowidz|woj. mazowieckie	płocka	Żuromin	mazowieckie
Św. Andrzeja Apostoła	Nieznamierowice	Św. Andrzeja Apostoła|Nieznamierowice|26-411 Nieznamierowice|woj. mazowieckie	radomska	Drzewica	mazowieckie
Św. Andrzeja Apostoła	Wójcin	Św. Andrzeja Apostoła|Wójcin 91|26-333 Wójcin|woj. łódzkie	radomska	Żarnów	łódzkie
Św. Andrzeja Apostoła	Strzegom	Św. Andrzeja Apostoła|Strzegom 48|28-236 Strzegom|woj. świętokrzyskie	sandomierska	Połaniec	świętokrzyskie
Św. Andrzeja Apostoła	Borów	Św. Andrzeja Apostoła|Borów 31a|23-236 Borów	sandomierska	Zaklików	
Św. Andrzeja Apostoła	Wola Pierowa	Św. Andrzeja Apostoła|Wola Pierowa 37|99-350 Wola Pierowa|woj. łódzkie	włocławska	Chodecz	łódzkie
Św. Andrzeja Apostoła	Kościelec	Św. Andrzeja Apostoła|ul. Kościelna 13|62-604 Kościelec|woj. wielkopolskie	włocławska	Kolo I	wielkopolskie
Św. Andrzeja Apostoła	Mąkolno	Św. Andrzeja Apostoła|Plac Kościelny 1|62-612 Mąkolno	włocławska	Sompolno	
Św. Andrzeja Apostoła	Małyń	Św. Andrzeja Apostoła|Małyń 42|99-232 Małyń|woj. łódzkie	włocławska	Szadek	łódzkie
Św. Andrzeja Apostoła i Narodzenia NMP	Łączki Jagillońskie	Św. Andrzeja Apostoła i Narodzenia NMP|Łączki Jagiellońskie 9|38-471 Łączki Jagillońskie|woj. podkarpackie	rzeszowska	Frysztak	podkarpackie
Św. Andrzeja Apostoła i Św. Małgorzaty	DMOSIN	Św. Andrzeja Apostoła i Św. Małgorzaty|Pl. Kościelny 5|95-061 DMOSIN|woj. łódzkie	łowicka	Głowno	łódzkie
Św. Andrzeja Apostoła i Św. Rocha	BRZOZÓW	Św. Andrzeja Apostoła i Św. Rocha|Brzozów Stary 54|09-534 BRZOZÓW	łowicka	Sanniki	
św. Andrzeja Ap. i NMP Wspomożenia Wiernych	Lutom	św. Andrzeja Ap. i NMP Wspomożenia Wiernych|Lutom 20|64-410 Lutom|woj. wielkopolskie	poznańska	Wronki	wielkopolskie
św. Andrzeja Ap i św. Wawrzyńca	Baranów	św. Andrzeja Ap i św. Wawrzyńca|ul. Kościelna 1|63-604 Baranów|woj. wielkopolskie	kaliska	kępiński	wielkopolskie
św. Andrzeja Boboli	Białystok	św. Andrzeja Boboli|ul. Św. Andrzeja Boboli 49a|15-694 Białystok|woj. podlaskie	białostocka	Białystok Starosielce	podlaskie
św. Andrzeja Boboli	Biała Piska	św. Andrzeja Boboli|ul. Konopnickiej 3a|12-203 Biała Piska	ełcka	św. Antoniego Padewskiego	
św. Andrzeja Boboli	Dubienniki	św. Andrzeja Boboli|19-504 Dubienniki|woj. warmińsko-mazurskie	ełcka	Filipów - MB Częstochowskiej	warmińsko-mazurskie
św. Andrzeja Boboli	Rydzewo k. Giżycka	św. Andrzeja Boboli|Rydzewo k. Giżycka|11-513 Rydzewo k. Giżycka|woj. warmińsko-mazurskie	ełcka	Giżycko - św. Krzysztofa	warmińsko-mazurskie
św. Andrzeja Boboli	Żabiczyn	św. Andrzeja Boboli|Żabiczyn 23|62-290 Żabiczyn|woj. wielkopolskie	gnieźnieńska	damasławski	wielkopolskie
św. Andrzeja Boboli	Wszedzień	św. Andrzeja Boboli|Wszedzień 23|88-300 Wszedzień|woj. kujawsko-pomorskie	gnieźnieńska	mogileński	kujawsko-pomorskie
św. Andrzeja Boboli	Kamienica	św. Andrzeja Boboli|św. Andrzeja Boboli|62-113 Kamienica|woj. wielkopolskie	gnieźnieńska	wagrowiecki	wielkopolskie
św. Andrzeja Boboli	Krotoszyn	św. Andrzeja Boboli|ul. Ks. Jerzego Popiełuszki 3|63-700 Krotoszyn|woj. wielkopolskie	kaliska	krotoszyński	wielkopolskie
św. Andrzeja Boboli	Lubinia Mała	św. Andrzeja Boboli|Lubinia Mała 93|63-210 Lubinia Mała|woj. wielkopolskie	kaliska	żerkowski	wielkopolskie
św. Andrzeja Boboli	Gościno	św. Andrzeja Boboli|ul. Kościelna 2|78-120 Gościno|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Gościno	zachodniopomorskie
św. Andrzeja Boboli	Biesowice	św. Andrzeja Boboli|Biesowice 35|77-230 Biesowice|woj. pomorskie	koszlińsko-kołobrzeska	Polanów	pomorskie
św. Andrzeja Boboli	Sulechówko	św. Andrzeja Boboli|Sulechówko 1|75-142 Sulechówko	koszlińsko-kołobrzeska	Sławno	
św. Andrzeja Boboli	Węgrzyce	św. Andrzeja Boboli|Węgrzce 36|32-086 Węgrzyce|woj. małopolskie	krakowska	Kraków-Prądnik	małopolskie
św. Andrzeja Boboli	Rogoźnik	św. Andrzeja Boboli|Rogoźnik 132|34-471 Rogoźnik|woj. małopolskie	krakowska	Nowy Targ	małopolskie
św. Andrzeja Boboli	Poznań	św. Andrzeja Boboli|ul. Junikowska 48|60-163 Poznań|woj. wielkopolskie	poznańska	Poznań-Łazarz	wielkopolskie
św. Andrzeja Boboli	Rawicz	św. Andrzeja Boboli|ul. Ignacego Buszy 3a|63-900 Rawicz|woj. wielkopolskie	poznańska	Rawicz	wielkopolskie
św. Andrzeja Boboli	Grzegorz	św. Andrzeja Boboli|Grzegorz 7|87-140 Grzegorz|woj. kujawsko-pomorskie	toruńska	Chełmża	kujawsko-pomorskie
św. Andrzeja Boboli	Pieńki Królewskie	św. Andrzeja Boboli|Pieńki Królewskie 1A|86-302 Pieńki Królewskie|woj. kujawsko-pomorskie	toruńska	Grudziądz II	kujawsko-pomorskie
św. Andrzeja Boboli	Bursztynowo	św. Andrzeja Boboli|Bursztynowo 14|86-341 Bursztynowo|woj. kujawsko-pomorskie	toruńska	Radzyń Chełmiński	kujawsko-pomorskie
św. Andrzeja Boboli	Warszawa	św. Andrzeja Boboli|ul. Rakowiecka 61|02-532 Warszawa|woj. mazowieckie	warszawska	Warszawa-Mokotów	mazowieckie
św. Andrzeja Boboli	Milicz	św. Andrzeja Boboli|ul. Spacerowa 2|56-300 Milicz|woj. dolnośląskie	wrocławska	Milicz	dolnośląskie
św. Andrzeja Boboli	Wrocław	św. Andrzeja Boboli|ul. Koszalińska 15|54-316 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Zachód (Leśnica)	dolnośląskie
św. Andrzeja Boboli	Ulim	św. Andrzeja Boboli|Ulim 28|66-425 Ulim|woj. lubuskie	zielonogórsko-gorzowska	Gorzów Wielkopolski-Chrystusa Króla	lubuskie
św. Andrzeja Boboli	Białków	św. Andrzeja Boboli|Białków 23|66-630 Białków|woj. lubuskie	zielonogórsko-gorzowska	Rzepin	lubuskie
Św. Andrzeja Boboli	Sicienko	Św. Andrzeja Boboli|ul. Mrotecka 1|86-010 Sicienko|woj. kujawsko-pomorskie	bydgoska	Białe Błota	kujawsko-pomorskie
Św. Andrzeja Boboli	Bydgoszcz	Św. Andrzeja Boboli|pl. Kościeleckich 7|85-033 Bydgoszcz|woj. kujawsko-pomorskie	bydgoska	Bydgoszcz II	kujawsko-pomorskie
Św. Andrzeja Boboli	Radzicz	Św. Andrzeja Boboli|89-111 Radzicz	bydgoska	Łobżenica	
Św. Andrzeja Boboli	Szubin	Św. Andrzeja Boboli|ul. Ogrodowa 1a|89-200 Szubin|woj. kujawsko-pomorskie	bydgoska	Szubin	kujawsko-pomorskie
Św. Andrzeja Boboli	Kaczory	Św. Andrzeja Boboli|ul. Kościelna 7|64-810 Kaczory|woj. wielkopolskie	bydgoska	Wysoka	wielkopolskie
Św. Andrzeja Boboli	Częstochowa	Św. Andrzeja Boboli|ul. Ludowa 68|42-222 Częstochowa	częstochowska	ŚWIĘTOKRZYSKI W CZĘSTOCHOWIE	
Św. Andrzeja Boboli	Lipnik	Św. Andrzeja Boboli|Lipnik 16|98-354 Lipnik|woj. łódzkie	częstochowska	DZIAŁOSZYŃSKI	łódzkie
Św. Andrzeja Boboli	Myszków	Św. Andrzeja Boboli|ul. Papieska 1|42-300 Myszków|woj. śląskie	częstochowska	MYSZKOWSKI	śląskie
Św. Andrzeja Boboli	Dworszowice Pakoszowe	Św. Andrzeja Boboli|Dworszowice Pakoszowe|98-338 Dworszowice Pakoszowe|woj. łódzkie	częstochowska	PAJĘCZAŃSKI	łódzkie
Św. Andrzeja Boboli	Masłowice	Św. Andrzeja Boboli|Masłowice 65|98-300 Masłowice|woj. łódzkie	częstochowska	ŚW. WOJCIECHA BM W WIELUNIU	łódzkie
Św. Andrzeja Boboli	Iława	Św. Andrzeja Boboli|ul. gen. W. Sikorskiego 57|14-200 Iława|woj. warmińsko-mazurskie	elbląska	IŁAWA - WSCHÓD	warmińsko-mazurskie
Św. Andrzeja Boboli	Gdynia	Św. Andrzeja Boboli|Gdynia Obłuże Plac św. Andrzeja 1|81-168 Gdynia|woj. pomorskie	gdańska	Gdynia Chylonia	pomorskie
Św. Andrzeja Boboli	Sopot	Św. Andrzeja Boboli|Sopot ul. Powstańców Warszawy 15|81-718 Sopot|woj. pomorskie	gdańska	Sopot	pomorskie
Św. Andrzeja Boboli	Kostomłoty	Św. Andrzeja Boboli|Kostomłoty 133|26-085 Kostomłoty|woj. świętokrzyskie	kielecka	Kielce Północ	świętokrzyskie
Św. Andrzeja Boboli	Świecie n. Wisłą	Św. Andrzeja Boboli|ul. Ogrodowa 2|86-100 Świecie n. Wisłą|woj. kujawsko-pomorskie	pelplińska	Świecie	kujawsko-pomorskie
Św. Andrzeja Boboli	Gorlice	Św. Andrzeja Boboli|ul. Partyzantów 11|38-300 Gorlice|woj. małopolskie	rzeszowska	Gorlice	małopolskie
Św. Andrzeja Boboli	Nawsie	Św. Andrzeja Boboli|Nawsie 328|39-110 Nawsie|woj. podkarpackie	rzeszowska	Wielopole Skrzyńskie	podkarpackie
Św. Andrzeja Boboli	Mechowo k. Płot	Św. Andrzeja Boboli|Mechowo|72-310 Mechowo k. Płot|woj. zachodniopomorskie	szczecińsko-kamieńska	Gryfice	zachodniopomorskie
Św. Andrzeja Boboli	Szczecin	Św. Andrzeja Boboli|ul. Pocztowa 22|70-361 Szczecin|woj. zachodniopomorskie	szczecińsko-kamieńska	Szczecin-Śródmieście	zachodniopomorskie
Św. Andrzeja Boboli	ŁOMŻA	Św. Andrzeja Boboli|ul.Wąska 93|18-400 ŁOMŻA|woj. podlaskie	łomżyńska	Łomża-Katedra Św.Michała Archanioła	podlaskie
Św. Andrzeja Boboli	ŚWIDNICA	Św. Andrzeja Boboli|ul.Wałbrzyska 41|58-100 ŚWIDNICA|woj. dolnośląskie	świdnicka	Świdnica-Zachód	dolnośląskie
Św. Andrzeja Boboli	WARSZAWA-WESOŁA	Św. Andrzeja Boboli|ul.Okuniewska 1|05-075 WARSZAWA-WESOŁA|woj. mazowieckie	ordynariat polowy	Pomorski Okręg Wojskowy	mazowieckie
Św. Andrzeja Boboli	Bukowno	Św. Andrzeja Boboli|ul.Kościuszki 38|32-332 Bukowno	sosnowiecka	Sławków	
Św. Andrzeja Boboli	Sosnowiec	Św. Andrzeja Boboli|ul.Słowiańska 2/III|41-200 Sosnowiec	sosnowiecka	Sosnowiec-Wniebowzięcia NMP	
Św. Andrzeja Boboli	Budziska	Św. Andrzeja Boboli|ul. Wyszkowska 47a|07-130 Budziska|woj. mazowieckie	drohiczyńska	Łochów	mazowieckie
Św. Andrzeja Boboli	Czekanów	Św. Andrzeja Boboli|Czekanów|08-304 Czekanów|woj. mazowieckie	drohiczyńska	Sokołów Podlaski	mazowieckie
Św. Andrzeja Boboli	Babin	Św. Andrzeja Boboli|Babin|24-200 Babin|woj. lubelskie	lubelska	Bełżyce	lubelskie
Św. Andrzeja Boboli	Parafianka	Św. Andrzeja Boboli|Parafianka|24-103 Parafianka|woj. lubelskie	lubelska	Puławy	lubelskie
Św. Andrzeja Boboli	Wojciechy	Św. Andrzeja Boboli|Wojciechy 73|11-216 Wojciechy	warmińska (olsztyńska)	Górowo Iławeckie	
Św. Andrzeja Boboli	Lidzbark Warmiński	Św. Andrzeja Boboli|ul. Polna 34a|11-100 Lidzbark Warmiński|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Lidzbark Warmiński	warmińsko-mazurskie
Św. Andrzeja Boboli	Szyldak	Św. Andrzeja Boboli|ul. Szkolna 1|14-106 Szyldak|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Ostróda I - Wschód	warmińsko-mazurskie
Św. Andrzeja Boboli	Świętajno	Św. Andrzeja Boboli|ul. Żymierskiego 19|12-140 Świętajno|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Rozogi	warmińsko-mazurskie
Św. Andrzeja Boboli	Rokity	Św. Andrzeja Boboli|Rokity 33|77-123 Rokity|woj. pomorskie	pelplińska	Łupawa	pomorskie
Św. Andrzeja Boboli	Kamionka	Św. Andrzeja Boboli|Kamionka 82|83-230 Kamionka|woj. pomorskie	pelplińska	Nowe	pomorskie
Św. Andrzeja Boboli	Swarożyn	Św. Andrzeja Boboli|ul. Wyzwolenia 15|83-115 Swarożyn|woj. pomorskie	pelplińska	Tczew	pomorskie
Św. Andrzeja Boboli	Sątopy	Św. Andrzeja Boboli|Sątopyul. Kościelna 18|64-300 Sątopy|woj. wielkopolskie	poznańska	Grodzisk	wielkopolskie
Św. Andrzeja Boboli	Nojewo	Św. Andrzeja Boboli|Nojewo 11|64-045 Nojewo	poznańska	Pniewy	
Św. Andrzeja Boboli	Potok	Św. Andrzeja Boboli|Potok 413|38-404 Potok	przemyska (łac)	Krosno I	
Św. Andrzeja Boboli	Krzeczowice	Św. Andrzeja Boboli|Krzeczowice 91|37-220 Krzeczowice|woj. podkarpackie	przemyska (łac)	Przeworsk II	podkarpackie
Św. Andrzeja Boboli	Żurawica Górna	Św. Andrzeja Boboli|ul. kard. Wyszyńskiego 2|37-710 Żurawica Górna|woj. podkarpackie	przemyska (łac)	Żurawica	podkarpackie
Św. Andrzeja Boboli	Skierkowizna	Św. Andrzeja Boboli|Skierkowizna|06-316 Skierkowizna|woj. mazowieckie	płocka	Dzierzgowo	mazowieckie
Św. Andrzeja Boboli	Koszary	Św. Andrzeja Boboli|Koszary|27-100 Koszary|woj. mazowieckie	radomska	Iłża	mazowieckie
Św. Andrzeja Boboli	Słupica	Św. Andrzeja Boboli|ul. Cudnów 18|26-630 Słupica|woj. mazowieckie	radomska	Pionki	mazowieckie
Św. Andrzeja Boboli	Małęczyn	Św. Andrzeja Boboli|ul. Kościelna 20|26-634 Małęczyn|woj. mazowieckie	radomska	Radom-Północ	mazowieckie
Św. Andrzeja Boboli	Bardzice	Św. Andrzeja Boboli|Bardzice 18|26-643 Bardzice	radomska	Wierzbica	
Św. Andrzeja Boboli	Niemirów	Św. Andrzeja Boboli|Niemirów 3|28-210 Niemirów|woj. świętokrzyskie	sandomierska	Staszów	świętokrzyskie
Św. Andrzeja Boboli	Dwikozy	Św. Andrzeja Boboli|ul. Sportowa 1|27-620 Dwikozy|woj. świętokrzyskie	sandomierska	Zawichost	świętokrzyskie
Św. Andrzeja Boboli	Wytyczno	Św. Andrzeja Boboli|Wytyczno 146|22-234 Wytyczno|woj. lubelskie	siedlecka	Hańsk	lubelskie
Św. Andrzeja Boboli	Gąsiory	Św. Andrzeja Boboli|Gąsiory 28|21-308 Gąsiory	siedlecka	Radzyń Podlaski	
Św. Andrzeja Boboli	Piasecznik	Św. Andrzeja Boboli|Piasecznik 50|73-205 Piasecznik	szczecińsko-kamieńska	Suchań	
Św. Andrzeja Boboli	Marki	Św. Andrzeja Boboli|ul. Piłsudskiego 248|05-261 Marki	warszawsko-praska	Kobyłka	
Św. Andrzeja Boboli	Łódź	Św. Andrzeja Boboli|Rynek Nowosolna 14|92-703 Łódź|woj. łódzkie	łódzka	Łódź-Stoki	łódzkie
św. Andrzeja Boboli i św. Antoniego z Padwy	Złotniki Kujawskie	św. Andrzeja Boboli i św. Antoniego z Padwy|ul. Kościelna 8|88-180 Złotniki Kujawskie|woj. kujawsko-pomorskie	gnieźnieńska	złotnicki	kujawsko-pomorskie
Św. Andrzeja Boboli, Kapłana i Męczennika	Sztum	Św. Andrzeja Boboli, Kapłana i Męczennika|ul. Konopnickiej 14|82-400 Sztum|woj. pomorskie	elbląska	SZTUM	pomorskie
Św. Andrzeja Boboli KM	Zawiercie	Św. Andrzeja Boboli KM|ul. Wilcza 1|42-404 Zawiercie	częstochowska	ŚW. PIOTRA I PAWŁA APOSTOŁÓW W ZAWIERCIU	
św. Andrzeja Boboli M.	Szarwark	św. Andrzeja Boboli M.|Szarwark 211|33-200 Szarwark|woj. małopolskie	tarnowska	Dąbrowa Tarnowska	małopolskie
św. Andrzeja Boboli M.	Śnietnica	św. Andrzeja Boboli M.|Śnietnica 32|38-313 Śnietnica|woj. małopolskie	tarnowska	Ropa	małopolskie
Św. Andrzeja i Św. Jakuba	Pawłowiczki	Św. Andrzeja i Św. Jakuba|ul. Ks. Kuliga 1|47-280 Pawłowiczki|woj. opolskie	opolska	Gościęcin	opolskie
Św. Andrzeja Świerada i Benedykta Pustelników	Częstochowa	Św. Andrzeja Świerada i Benedykta Pustelników|ul. Mickiewicza 5/17|42-200 Częstochowa|woj. śląskie	częstochowska	ŚW. ZYGMUNTA W CZĘSTOCHOWIE	śląskie
Św. Andrzeja z Awelinu	Radomyśl	Św. Andrzeja z Awelinu|Radomyśl 52|08-112 Radomyśl|woj. mazowieckie	siedlecka	Zbuczyn	mazowieckie
Św. Anioła Stróża	Gorzyce Śląskie	Św. Anioła Stróża|ul. Ogrodowa 1|44-350 Gorzyce Śląskie|woj. śląskie	katowicka	Gorzyce Śląskie	śląskie
Św. Aniołów Stróżów	Mrzezino	Św. Aniołów Stróżów|Mrzezino ul. Pucka 4|84-123 Mrzezino|woj. pomorskie	gdańska	Puck	pomorskie
Św. Aniołów Stróżów	Cedry Wielkie	Św. Aniołów Stróżów|Cedry Wielkie ul. Osadników Wojskowych 2|83-020 Cedry Wielkie|woj. pomorskie	gdańska	Żuławy Steblewskie	pomorskie
Św. Aniołów Stróżów	WAŁBRZYCH	Św. Aniołów Stróżów|ul.Garbarska 4|58-300 WAŁBRZYCH|woj. dolnośląskie	świdnicka	Wałbrzych-Południe	dolnośląskie
św. Anny	Białystok	św. Anny|ul. Mazowiecka 17/19|15-301 Białystok|woj. podlaskie	białostocka	Białystok Śródmieście	podlaskie
św. Anny	Kalinówka	św. Anny|Kalinówka Kościelna 39|19-120 Kalinówka|woj. podlaskie	białostocka	Knyszyn	podlaskie
św. Anny	Krynki	św. Anny|ul. Nowa 1|16-120 Krynki|woj. podlaskie	białostocka	Krynki	podlaskie
św. Anny	Giżycko	św. Anny|ul. Królowej Jadwigi 12|11-500 Giżycko|woj. warmińsko-mazurskie	ełcka	Giżycko - św. Krzysztofa	warmińsko-mazurskie
